899,510,1419
644,819,1473
632,504,1146
774,620,1404
226,572,808
546,395,951
420,7,437
317,23,350
924,77,1011
663,483,1156
880,279,1169
250,919,1179
302,645,957
31,273,314
223,484,717
679,431,1120
378,421,809
589,850,1449
288,437,735
751,795,1556
366,408,784
197,507,714
875,439,1324
199,453,662
100,680,790
281,221,512
252,765,1027
930,681,1621
690,757,1457
882,359,1251
861,33,904
911,734,1655
805,644,1459
431,725,1166
885,699,1594
930,9,949
612,793,1415
91,306,407
500,28,538
856,892,1758
959,629,1598
181,999,1190
519,821,1350
751,413,1174
886,283,1179
804,554,1368
583,293,886
559,878,1447
907,469,1386
688,182,880
126,459,595
722,152,884
975,284,1269
490,665,1165
431,551,992
710,818,1538
798,877,1685
285,529,824
241,872,1123
620,489,1119
710,547,1267
944,337,1291
114,209,333
797,545,1352
628,209,847
568,883,1461
391,302,703
154,634,798
969,913,1892
422,646,1078
606,263,879
968,931,1909
408,751,1169
549,986,1545
33,980,1023
428,916,1354
233,245,488
425,612,1047
800,524,1334
754,720,1484
43,519,572
300,314,624
696,408,1114
908,988,1906
359,53,422
376,1,387
681,958,1649
15,3,28
198,67,275
666,482,1158
502,827,1339
49,797,856
713,297,1020
569,726,1305
805,835,1650
417,387,814
598,13,621
725,231,966
963,834,1807
516,415,941
798,90,898
114,38,162
935,686,1631
836,483,1329
276,144,430
374,51,435
263,46,319
860,968,1838
291,811,1112
373,586,969
174,809,993
177,928,1115
821,215,1046
607,985,1602
545,578,1133
623,389,1022
717,300,1027
345,625,980
490,567,1067
11,659,680
342,99,451
423,605,1038
851,977,1838
284,111,405
609,788,1407
447,627,1084
604,803,1417
499,636,1145
167,510,687
427,553,990
454,170,634
455,948,1413
648,517,1175
866,131,1007
124,315,449
208,73,291
163,680,853
383,601,994
231,964,1205
587,65,662
4,745,759
921,130,1061
172,175,357
554,971,1535
481,4,495
375,114,499
792,76,878
615,557,1182
952,506,1468
75,620,705
394,829,1233
556,526,1092
727,860,1597
867,357,1234
582,113,705
803,542,1355
386,18,414
747,410,1167
639,55,704
230,593,833
586,576,1172
376,502,888
330,471,811
797,294,1101
12,836,858
750,104,864
229,422,661
50,358,418
178,25,213
463,384,857
762,568,1340
9,234,253
547,420,977
753,231,994
136,995,1141
65,12,87
900,744,1654
306,550,866
253,324,587
80,291,381
712,4,726
959,314,1283
351,233,594
262,957,1229
507,795,1312
175,551,736
187,745,942
796,470,1276
14,487,511
376,475,861
282,958,1250
171,563,744
704,639,1353
53,993,1056
1000,566,1576
319,481,810
883,531,1424
571,125,706
799,682,1491
159,786,955
882,33,925
954,135,1099
585,700,1295
977,585,1572
312,418,740
682,134,826
392,959,1361
146,11,167
68,428,506
454,870,1334
335,537,882
292,153,455
963,385,1358
253,238,501
538,818,1366
253,574,837
970,165,1145
838,982,1830
813,905,1728
592,511,1113
706,640,1356
957,109,1076
173,409,592
302,977,1289
267,454,731
813,209,1032
462,956,1428
130,741,881
241,245,496
623,358,991
812,461,1283
684,277,971
453,641,1104
53,689,752
825,487,1322
261,873,1144
634,150,794
843,227,1080
586,662,1258
550,87,647
273,574,857
389,54,453
852,792,1654
98,842,950
644,263,917
39,908,957
293,758,1061
849,810,1669
489,780,1279
165,40,215
298,102,410
152,813,975
780,197,987
440,909,1359
269,66,345
907,459,1376
929,420,1359
731,207,948
147,26,183
632,728,1370
646,807,1463
741,177,928
864,186,1060
503,721,1234
733,250,993
423,35,468
400,667,1077
598,501,1109
68,454,532
798,363,1171
213,805,1028
603,16,629
332,941,1283
880,466,1356
587,382,979
881,432,1323
569,331,910
137,829,976
407,817,1234
700,215,925
607,422,1039
972,425,1407
140,925,1075
512,520,1042
177,241,428
848,831,1689
687,826,1523
85,466,561
314,997,1321
158,991,1159
949,579,1538
865,19,894
988,354,1352
133,200,343
317,609,936
385,738,1133
985,144,1139
559,150,719
410,152,572
770,940,1720
105,423,538
979,518,1507
279,169,458
933,642,1585
907,830,1747
274,520,804
688,405,1103
823,972,1805
183,187,380
814,263,1087
870,720,1600
825,491,1326
910,821,1741
49,301,360
433,377,820
